time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
3450.000,54.461,0.122,48.827,0.103,0.602,0.104,2.731,0.075
3460.000,54.414,0.149,48.834,0.101,0.538,0.055,2.699,0.051
3470.000,54.438,0.117,48.795,0.066,0.570,0.062,2.699,0.100
3480.000,54.438,0.066,48.811,0.118,0.594,0.058,2.658,0.086
3490.000,54.368,0.092,48.795,0.106,0.594,0.058,2.691,0.121
3500.000,54.430,0.074,48.827,0.137,0.610,0.065,2.642,0.071
3510.000,54.508,0.110,48.756,0.145,0.618,0.076,2.642,0.118
3520.000,54.391,0.115,48.811,0.099,0.610,0.065,2.666,0.042
3530.000,54.477,0.093,48.834,0.125,0.578,0.069,2.634,0.066
3540.000,54.477,0.086,48.740,0.065,0.578,0.058,2.634,0.086
3550.000,54.391,0.141,48.748,0.089,0.554,0.085,2.610,0.094
3560.000,54.375,0.084,48.803,0.140,0.594,0.079,2.601,0.087
3570.000,54.453,0.123,48.795,0.139,0.546,0.056,2.618,0.051
3580.000,54.430,0.122,48.780,0.103,0.602,0.062,2.610,0.067
3590.000,54.438,0.138,48.701,0.096,0.578,0.069,2.569,0.126
3600.000,54.461,0.074,48.780,0.147,0.578,0.069,2.577,0.077
3610.000,54.375,0.117,48.803,0.106,0.594,0.079,2.585,0.095
3620.000,54.368,0.076,48.787,0.091,0.594,0.102,2.593,0.079
3630.000,54.352,0.116,48.780,0.103,0.610,0.075,2.528,0.067
3640.000,54.461,0.038,48.717,0.106,0.578,0.095,2.528,0.067
3650.000,54.383,0.147,48.772,0.141,0.594,0.058,2.439,0.103
3660.000,54.336,0.129,48.834,0.136,0.594,0.058,2.447,0.055
3670.000,54.298,0.123,48.740,0.111,0.570,0.073,2.439,0.079
3680.000,54.383,0.127,48.748,0.121,0.625,0.077,2.439,0.095
3690.000,54.337,0.124,48.780,0.089,0.594,0.087,2.366,0.067
3700.000,54.321,0.068,48.787,0.105,0.538,0.041,2.382,0.097
3710.000,54.344,0.115,48.756,0.125,0.594,0.115,2.341,0.095
3720.000,54.375,0.091,48.654,0.076,0.594,0.121,2.366,0.067
3730.000,54.344,0.096,48.733,0.174,0.618,0.085,2.317,0.071
3740.000,54.298,0.098,48.662,0.111,0.586,0.065,2.349,0.043
